split,n_patients,event_rate,cancer_0,cancer_1,cancer_2,cancer_3,cancer_4,cancer_5,cancer_6,cancer_7,cancer_8,cancer_9,scheme
global_test,760,0.282,194,85,72,14,108,41,90,93,32,31,iid
client_0,507,0.3,113,75,46,10,82,29,60,58,17,17,iid
client_1,506,0.312,137,58,47,4,56,38,55,59,28,24,iid
client_2,506,0.263,134,46,54,8,64,35,61,55,32,17,iid
client_3,506,0.283,129,43,58,11,70,29,54,64,28,20,iid
client_4,506,0.263,144,50,57,10,65,37,49,55,23,16,iid
client_5,506,0.269,150,54,53,8,55,25,63,72,13,13,iid
global_test,760,0.282,194,85,72,14,108,41,90,93,32,31,noniid
client_0,807,0.141,807,0,0,0,0,0,0,0,0,0,noniid
client_1,641,0.324,0,326,315,0,0,0,0,0,0,0,noniid
client_2,443,0.318,0,0,0,51,392,0,0,0,0,0,noniid
client_3,363,0.41,0,0,0,0,0,0,0,363,0,0,noniid
client_4,535,0.275,0,0,0,0,0,193,342,0,0,0,noniid
client_5,248,0.387,0,0,0,0,0,0,0,0,141,107,noniid
