,patient_id,tissue_class,attention_group,count
0,TCGA-A1-A0SK-01Z,Adipose,High,65
1,TCGA-A1-A0SK-01Z,Adipose,Low,9
2,TCGA-A1-A0SK-01Z,Adipose,Medium,26
3,TCGA-A1-A0SK-01Z,Epithelial,High,701
4,TCGA-A1-A0SK-01Z,Epithelial,Low,1652
5,TCGA-A1-A0SK-01Z,Epithelial,Medium,1460
6,TCGA-A1-A0SK-01Z,Lymphocytes,High,47
7,TCGA-A1-A0SK-01Z,Lymphocytes,Low,10
8,TCGA-A1-A0SK-01Z,Lymphocytes,Medium,24
9,TCGA-A1-A0SK-01Z,Miscelleneous,High,572
10,TCGA-A1-A0SK-01Z,Miscelleneous,Low,89
11,TCGA-A1-A0SK-01Z,Miscelleneous,Medium,173
12,TCGA-A1-A0SK-01Z,Stroma,High,9
13,TCGA-A2-A0D0-01Z,Adipose,High,248
14,TCGA-A2-A0D0-01Z,Adipose,Low,384
15,TCGA-A2-A0D0-01Z,Adipose,Medium,451
16,TCGA-A2-A0D0-01Z,Epithelial,High,372
17,TCGA-A2-A0D0-01Z,Epithelial,Low,671
18,TCGA-A2-A0D0-01Z,Epithelial,Medium,402
19,TCGA-A2-A0D0-01Z,Lymphocytes,High,32
20,TCGA-A2-A0D0-01Z,Lymphocytes,Low,69
21,TCGA-A2-A0D0-01Z,Lymphocytes,Medium,51
22,TCGA-A2-A0D0-01Z,Miscelleneous,High,92
23,TCGA-A2-A0D0-01Z,Miscelleneous,Low,30
24,TCGA-A2-A0D0-01Z,Miscelleneous,Medium,63
25,TCGA-A2-A0D0-01Z,Stroma,High,166
26,TCGA-A2-A0D0-01Z,Stroma,Low,15
27,TCGA-A2-A0D0-01Z,Stroma,Medium,79
28,TCGA-A2-A0EM-01Z,Adipose,High,209
29,TCGA-A2-A0EM-01Z,Adipose,Low,60
30,TCGA-A2-A0EM-01Z,Adipose,Medium,119
31,TCGA-A2-A0EM-01Z,Epithelial,High,172
32,TCGA-A2-A0EM-01Z,Epithelial,Low,402
33,TCGA-A2-A0EM-01Z,Epithelial,Medium,304
34,TCGA-A2-A0EM-01Z,Lymphocytes,High,8
35,TCGA-A2-A0EM-01Z,Lymphocytes,Medium,3
36,TCGA-A2-A0EM-01Z,Miscelleneous,High,30
37,TCGA-A2-A0EM-01Z,Miscelleneous,Low,44
38,TCGA-A2-A0EM-01Z,Miscelleneous,Medium,22
39,TCGA-A2-A0EM-01Z,Stroma,High,25
40,TCGA-A2-A0EM-01Z,Stroma,Low,2
41,TCGA-A2-A0EM-01Z,Stroma,Medium,13
42,TCGA-A2-A25A-01Z,Adipose,High,47
43,TCGA-A2-A25A-01Z,Adipose,Low,14
44,TCGA-A2-A25A-01Z,Adipose,Medium,57
45,TCGA-A2-A25A-01Z,Epithelial,High,1065
46,TCGA-A2-A25A-01Z,Epithelial,Low,1561
47,TCGA-A2-A25A-01Z,Epithelial,Medium,1249
48,TCGA-A2-A25A-01Z,Lymphocytes,High,49
49,TCGA-A2-A25A-01Z,Lymphocytes,Low,11
50,TCGA-A2-A25A-01Z,Lymphocytes,Medium,33
51,TCGA-A2-A25A-01Z,Miscelleneous,High,6
52,TCGA-A2-A25A-01Z,Miscelleneous,Low,1
53,TCGA-A2-A25A-01Z,Miscelleneous,Medium,1
54,TCGA-A2-A25A-01Z,Stroma,High,369
55,TCGA-A2-A25A-01Z,Stroma,Low,64
56,TCGA-A2-A25A-01Z,Stroma,Medium,282
57,TCGA-AC-A62V-01Z,Adipose,High,6
58,TCGA-AC-A62V-01Z,Adipose,Medium,1
59,TCGA-AC-A62V-01Z,Epithelial,High,87
60,TCGA-AC-A62V-01Z,Epithelial,Low,125
61,TCGA-AC-A62V-01Z,Epithelial,Medium,118
62,TCGA-AC-A62V-01Z,Miscelleneous,High,3
63,TCGA-AC-A62V-01Z,Stroma,High,2
64,TCGA-AR-A0TT-01Z,Adipose,High,178
65,TCGA-AR-A0TT-01Z,Adipose,Medium,33
66,TCGA-AR-A0TT-01Z,Epithelial,High,217
67,TCGA-AR-A0TT-01Z,Epithelial,Low,976
68,TCGA-AR-A0TT-01Z,Epithelial,Medium,795
69,TCGA-AR-A0TT-01Z,Lymphocytes,High,228
70,TCGA-AR-A0TT-01Z,Lymphocytes,Low,15
71,TCGA-AR-A0TT-01Z,Lymphocytes,Medium,94
72,TCGA-AR-A0TT-01Z,Miscelleneous,High,45
73,TCGA-AR-A0TT-01Z,Miscelleneous,Low,7
74,TCGA-AR-A0TT-01Z,Miscelleneous,Medium,8
75,TCGA-AR-A0TT-01Z,Stroma,High,100
76,TCGA-AR-A0TT-01Z,Stroma,Medium,14
77,TCGA-AR-A0TW-01Z,Adipose,High,35
78,TCGA-AR-A0TW-01Z,Adipose,Low,1
79,TCGA-AR-A0TW-01Z,Adipose,Medium,31
80,TCGA-AR-A0TW-01Z,Epithelial,High,972
81,TCGA-AR-A0TW-01Z,Epithelial,Low,2003
82,TCGA-AR-A0TW-01Z,Epithelial,Medium,1286
83,TCGA-AR-A0TW-01Z,Lymphocytes,High,660
84,TCGA-AR-A0TW-01Z,Lymphocytes,Low,411
85,TCGA-AR-A0TW-01Z,Lymphocytes,Medium,863
86,TCGA-AR-A0TW-01Z,Miscelleneous,High,52
87,TCGA-AR-A0TW-01Z,Miscelleneous,Low,68
88,TCGA-AR-A0TW-01Z,Miscelleneous,Medium,72
89,TCGA-AR-A0TW-01Z,Stroma,High,555
90,TCGA-AR-A0TW-01Z,Stroma,Low,18
91,TCGA-AR-A0TW-01Z,Stroma,Medium,160
92,TCGA-AR-A0U3-01Z,Adipose,High,112
93,TCGA-AR-A0U3-01Z,Adipose,Low,44
94,TCGA-AR-A0U3-01Z,Adipose,Medium,142
95,TCGA-AR-A0U3-01Z,Epithelial,High,600
96,TCGA-AR-A0U3-01Z,Epithelial,Low,1245
97,TCGA-AR-A0U3-01Z,Epithelial,Medium,622
98,TCGA-AR-A0U3-01Z,Lymphocytes,High,979
99,TCGA-AR-A0U3-01Z,Lymphocytes,Low,982
100,TCGA-AR-A0U3-01Z,Lymphocytes,Medium,1188
101,TCGA-AR-A0U3-01Z,Miscelleneous,High,133
102,TCGA-AR-A0U3-01Z,Miscelleneous,Low,24
103,TCGA-AR-A0U3-01Z,Miscelleneous,Medium,89
104,TCGA-AR-A0U3-01Z,Stroma,High,173
105,TCGA-AR-A0U3-01Z,Stroma,Low,7
106,TCGA-AR-A0U3-01Z,Stroma,Medium,53
107,TCGA-AR-A1AH-01Z,Adipose,High,69
108,TCGA-AR-A1AH-01Z,Adipose,Low,10
109,TCGA-AR-A1AH-01Z,Adipose,Medium,151
110,TCGA-AR-A1AH-01Z,Epithelial,High,157
111,TCGA-AR-A1AH-01Z,Epithelial,Low,1250
112,TCGA-AR-A1AH-01Z,Epithelial,Medium,1032
113,TCGA-AR-A1AH-01Z,Lymphocytes,High,3
114,TCGA-AR-A1AH-01Z,Lymphocytes,Low,323
115,TCGA-AR-A1AH-01Z,Lymphocytes,Medium,65
116,TCGA-AR-A1AH-01Z,Miscelleneous,High,408
117,TCGA-AR-A1AH-01Z,Miscelleneous,Low,85
118,TCGA-AR-A1AH-01Z,Miscelleneous,Medium,113
119,TCGA-AR-A1AH-01Z,Stroma,High,412
120,TCGA-AR-A1AH-01Z,Stroma,Low,1
121,TCGA-AR-A1AH-01Z,Stroma,Medium,103
122,TCGA-AR-A1AP-01Z,Adipose,High,19
123,TCGA-AR-A1AP-01Z,Adipose,Low,3
124,TCGA-AR-A1AP-01Z,Adipose,Medium,16
125,TCGA-AR-A1AP-01Z,Epithelial,High,17
126,TCGA-AR-A1AP-01Z,Epithelial,Low,4
127,TCGA-AR-A1AP-01Z,Epithelial,Medium,16
128,TCGA-AR-A1AP-01Z,Lymphocytes,Low,1
129,TCGA-AR-A1AP-01Z,Lymphocytes,Medium,4
130,TCGA-AR-A1AP-01Z,Miscelleneous,High,17
131,TCGA-AR-A1AP-01Z,Miscelleneous,Low,8
132,TCGA-AR-A1AP-01Z,Miscelleneous,Medium,3
133,TCGA-AR-A1AP-01Z,Stroma,High,12
134,TCGA-AR-A1AP-01Z,Stroma,Low,1
135,TCGA-AR-A1AP-01Z,Stroma,Medium,11
